trip_id,pickup_datetime,dropoff_datetime,pickup_zone,dropoff_zone,distance_km,fare_sgd,tip_sgd,payment_type,passengers
SG-TX-100000,2024-12-10 15:20:24,2024-12-10 15:35:46,Queenstown,Tiong Bahru,2.67,5.36,3.18,Card,3
SG-TX-100001,2022-11-08 20:33:47,2022-11-08 20:57:18,Toa Payoh,Holland Village,24.38,11.33,,Nets,1
SG-TX-100002,2023-01-15 23:47:41,2023-01-16 00:36:25,Orchard,Toa Payoh,5.5,9.2,,Mastercard,2
SG-TX-100003,2024-09-10 02:36:13,2024-09-10 03:06:10,Hougang,Sengkang,15.77,10.77,1.47,Mastercard,1
SG-TX-100004,2023-02-28 09:49:12,2023-02-28 10:47:02,Woodlands,Serangoon,10.79,9.63,3.49,credit card,2
SG-TX-100005,2022-09-15 15:59:40,2022-09-15 16:05:06,,Toa Payoh,9.91,6.29,,cash,2
SG-TX-100006,2023-09-07 06:35:23,2023-09-07 07:20:05,Pasir Ris,Changi Airport,23.32,-28.96,,cash,1
SG-TX-100007,2022-12-23 13:48:54,2022-12-23 14:38:40,Ang Mo Kio,Queenstown,4.16,4.76,,VISA,4
SG-TX-100008,2024-09-03 09:31:57,2024-09-03 10:27:25,Hougang,Queenstown,24.93,17.32,,GRAB,4
SG-TX-100009,2024-09-23 08:02:27,2024-09-23 08:16:04,Toa Payoh,Paya Lebar,9.79,7.43,,Card,2
SG-TX-100010,2022-12-02 09:17:24,2022-12-02 10:16:31,Bukit Timah,Punggol,16.39,-31.54,,Cash,1
SG-TX-100011,2023-08-04 09:04:27,2023-08-04 09:31:01,Hougang,Little India,24.21,13.82,,NETS,4
SG-TX-100012,2024-12-14 10:56:03,2024-12-14 11:20:24,Paya Lebar,Hougang,1.91,4.08,,Cash Payment,3
SG-TX-100013,2024-03-24 13:55:52,2024-03-24 14:20:25,Little India,Changi Airport,23.11,13.93,,Nets,3
SG-TX-100014,2022-08-25 07:51:40,2022-08-25 08:31:46,Raffles Place,Tampines,14.41,12.31,,Grab,3
SG-TX-100015,2023-10-10 10:57:03,2023-10-10 11:38:18,Chinatown,Holland Village,17.76,9.06,,GRAB,1
SG-TX-100016,2023-11-11 09:35:56,2023-11-11 10:06:59,Holland Village,Novena,4.16,3.9,,Grab,2
SG-TX-100017,2023-12-18 04:03:53,2023-12-18 04:12:47,Marina Bay,Paya Lebar,13.57,7.08,,Cash,1
SG-TX-100018,2022-01-28 09:52:29,2022-01-28 10:51:44,Orchard,Pasir Ris,17.0,9.92,4.18,Card,3
SG-TX-100019,2022-11-25 02:58:41,2022-11-25 03:15:53,Raffles Place,Holland Village,11.68,7.94,,GRAB,4
